Operacao,TamanhoTabela,FuncaoHash,QtdRegistros,TempoMS,ColisoesOuAcertos
INSERCAO,1000,Divisao,1000000,100,999000
BUSCA,1000,Divisao,1000000,1,5
INSERCAO,1000,Multiplicacao,1000000,27,999000
BUSCA,1000,Multiplicacao,1000000,1,5
INSERCAO,1000,Dobramento,1000000,248,999623
BUSCA,1000,Dobramento,1000000,2,5
INSERCAO,1000,Divisao,5000000,278,4999000
BUSCA,1000,Divisao,5000000,2,5
INSERCAO,1000,Multiplicacao,5000000,430,4999000
BUSCA,1000,Multiplicacao,5000000,1,5
INSERCAO,1000,Dobramento,5000000,858,4999614
BUSCA,1000,Dobramento,5000000,3,5
INSERCAO,1000,Divisao,20000000,1383,19999000
BUSCA,1000,Divisao,20000000,2,5
INSERCAO,1000,Multiplicacao,20000000,909,19999000
BUSCA,1000,Multiplicacao,20000000,2,5
INSERCAO,1000,Dobramento,20000000,4013,19999610
BUSCA,1000,Dobramento,20000000,9,5
INSERCAO,10000,Divisao,1000000,36,990000
BUSCA,10000,Divisao,1000000,0,5
INSERCAO,10000,Multiplicacao,1000000,39,990000
BUSCA,10000,Multiplicacao,1000000,1,5
INSERCAO,10000,Dobramento,1000000,244,999623
BUSCA,10000,Dobramento,1000000,1,5
INSERCAO,10000,Divisao,5000000,228,4990000
BUSCA,10000,Divisao,5000000,0,5
INSERCAO,10000,Multiplicacao,5000000,235,4990000
BUSCA,10000,Multiplicacao,5000000,0,5
INSERCAO,10000,Dobramento,5000000,839,4999614
BUSCA,10000,Dobramento,5000000,4,5
INSERCAO,10000,Divisao,20000000,2045,19990000
BUSCA,10000,Divisao,20000000,0,5
INSERCAO,10000,Multiplicacao,20000000,2070,19990000
BUSCA,10000,Multiplicacao,20000000,0,5
INSERCAO,10000,Dobramento,20000000,3548,19999610
BUSCA,10000,Dobramento,20000000,9,5
INSERCAO,100000,Divisao,1000000,46,900005
BUSCA,100000,Divisao,1000000,0,5
INSERCAO,100000,Multiplicacao,1000000,48,900002
BUSCA,100000,Multiplicacao,1000000,0,5
INSERCAO,100000,Dobramento,1000000,121,999623
BUSCA,100000,Dobramento,1000000,4,5
INSERCAO,100000,Divisao,5000000,631,4900000
BUSCA,100000,Divisao,5000000,0,5
INSERCAO,100000,Multiplicacao,5000000,271,4900000
BUSCA,100000,Multiplicacao,5000000,1,5
INSERCAO,100000,Dobramento,5000000,1008,4999614
BUSCA,100000,Dobramento,5000000,2,5
INSERCAO,100000,Divisao,20000000,2848,19900000
BUSCA,100000,Divisao,20000000,0,5
INSERCAO,100000,Multiplicacao,20000000,3546,19900000
BUSCA,100000,Multiplicacao,20000000,0,5
INSERCAO,100000,Dobramento,20000000,3877,19999610
BUSCA,100000,Dobramento,20000000,10,5
